Partname-S,Partname,Position,max_P,min_P,width,max_W,min_W
ECASD61C476M040KA0+C001/K803,ECASD61C476M040KA0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD90D477M4R5K00+C001/K803,ECASD90D477M4R5K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD90D567M4R5K00+C001/K803,ECASD90D567M4R5K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD90G337M008K00+C001/K803,ECASD90G337M008K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD90G337M008K00+C005/K803,ECASD90G337M008K00+C005,4.9,4.95,4.85,0.75,0.85,0.65
ECASD90G337M008K02+C001/K803,ECASD90G337M008K02+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD90J227M010K00+C001/K803,ECASD90J227M010K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD90J337M009K00+C001/K803,ECASD90J337M009K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD90J337M009K00+C003/K803,ECASD90J337M009K00+C003,4.9,4.95,4.85,0.75,0.85,0.65
ECASD90J337M009K00+C004/K803,ECASD90J337M009K00+C004,4.9,4.95,4.85,0.75,0.85,0.65
ECASD90J337M009K00+C005/K803,ECASD90J337M009K00+C005,4.9,4.95,4.85,0.75,0.85,0.65
ECASD90K107M010K00+C001/K803,ECASD90K107M010K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD90K157M010K00+C003/K803,ECASD90K157M010K00+C003,4.9,4.95,4.85,0.75,0.85,0.65
ECASD91A107M010K00+C001/K803,ECASD91A107M010K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD91A107M010K00+C005/K803,ECASD91A107M010K00+C005,4.9,4.95,4.85,0.75,0.85,0.65
ECASD91A157M010K00+C001/K803,ECASD91A157M010K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD91A157M010K00+C003/K803,ECASD91A157M010K00+C003,4.9,4.95,4.85,0.75,0.85,0.65
ECASD91A157M010K00+C005/K803,ECASD91A157M010K00+C005,4.9,4.95,4.85,0.75,0.85,0.65
ECASD91A157M010K00+C007/K803,ECASD91A157M010K00+C007,4.9,4.95,4.85,0.75,0.85,0.65
ECASD91A157M010L00+C003/L801,ECASD91A157M010L00+C003,4.9,4.95,4.85,0.75,0.85,0.65
ECASD91B107M012K00+C001/K803,ECASD91B107M012K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD91B107M012L00+C001/L801,ECASD91B107M012L00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD91C107M012K01+C001/K803,ECASD91C107M012K01+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD91C107M012K01+C006/K803,ECASD91C107M012K01+C006,4.9,4.95,4.85,0.75,0.85,0.65
ECASDA1C106M060K00+C001/K803,ECASDA1C106M060K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASDB1C476M040KA0+C001/K803,ECASDB1C476M040KA0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASDB1C476M040KA0+C008/K803,ECASDB1C476M040KA0+C008,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40J107M015K00+C011/K805,ECASD40J107M015K00+C011,4.9,4.95,4.85,0.75,0.85,0.65
ECASD61C107M012KA0+NAB1/K803,ECASD61C107M012KA0+NAB1,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41A107M040KH0+NA01/K803,ECASD41A107M040KH0+NA01,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40E337M009KA0+DA01/K805,ECASD40E337M009KA0+DA01,4.65,4.85,4.45,0.55,0.65,0.45
ECASD60G337M008KA0+N0D1/K805,ECASD60G337M008KA0+N0D1,4.65,4.85,4.45,0.55,0.65,0.45
ECASD41A107M040KH0+AA0T/K803,ECASD41A107M040KH0+AA0T,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40E337M009KH0+DA01/K803,ECASD40E337M009KH0+DA01,4.65,4.85,4.45,0.55,0.65,0.45
ECASD40J227M009KA0+C009/K805,ECASD40J227M009KA0+C009,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40E337M009KH0+DA02/K803,ECASD40E337M009KH0+DA02,4.65,4.85,4.45,0.55,0.65,0.45
ECASD40E337M009KA0+DA02/K803,ECASD40E337M009KA0+DA02,4.65,4.85,4.45,0.55,0.65,0.45
 ECASD40E337M006K00+C009/K803, ECASD40E337M006K00+C009,4.65,4.85,4.45,0.55,0.65,0.45
